"","Domain","Phylum","Class","Order","Family","Genus","Species","ASV"
"8f68ff83fb04e0889c8e8b01da3bc80f","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces",NA,"8f68ff83fb04e0889c8e8b01da3bc80f"
"478864597e5d0ddbeee0b726fa6ed933","Unassigned",NA,NA,NA,NA,NA,NA,"478864597e5d0ddbeee0b726fa6ed933"
"cd363ed01c95295f3a091cf42ce9e6e5","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas",NA,"cd363ed01c95295f3a091cf42ce9e6e5"
"c86b30d4fbfd714b688a1380148e703c","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Gardnerella","s__uncultured_bacterium","c86b30d4fbfd714b688a1380148e703c"
"a971f1996d09406ff2e2dcb61829bb1c","Unassigned",NA,NA,NA,NA,NA,NA,"a971f1996d09406ff2e2dcb61829bb1c"
"a3aa6e0fb6b3b602e4bbeda41abbefc0","d__Bacteria",NA,NA,NA,NA,NA,NA,"a3aa6e0fb6b3b602e4bbeda41abbefc0"
"47c9d6118f416b0fea22d01367b8cce0","d__Bacteria",NA,NA,NA,NA,NA,NA,"47c9d6118f416b0fea22d01367b8cce0"
"e3b4abf86b616637bcbd2975e542d89d","Unassigned",NA,NA,NA,NA,NA,NA,"e3b4abf86b616637bcbd2975e542d89d"
"f715bf3cc96f7b8707b0824edd51ed5e","Unassigned",NA,NA,NA,NA,NA,NA,"f715bf3cc96f7b8707b0824edd51ed5e"
"2a72f5cf3f41686803cf4593e4c8f9dc","Unassigned",NA,NA,NA,NA,NA,NA,"2a72f5cf3f41686803cf4593e4c8f9dc"
"514bf75718934175cc2e36beb2e7a2a8","d__Bacteria",NA,NA,NA,NA,NA,NA,"514bf75718934175cc2e36beb2e7a2a8"
"ce81924490163a943e09e73c3e4b704a","Unassigned",NA,NA,NA,NA,NA,NA,"ce81924490163a943e09e73c3e4b704a"
"8079673c768fe3ed10985efa496860dc","Unassigned",NA,NA,NA,NA,NA,NA,"8079673c768fe3ed10985efa496860dc"
"268181755d93ee5293245d49f35bd90a","Unassigned",NA,NA,NA,NA,NA,NA,"268181755d93ee5293245d49f35bd90a"
"7ea3180b9fa4e4898ccece1e6ceb8ed9","Unassigned",NA,NA,NA,NA,NA,NA,"7ea3180b9fa4e4898ccece1e6ceb8ed9"
"85df0bf86e7101de8ef7dff5f434426b","Unassigned",NA,NA,NA,NA,NA,NA,"85df0bf86e7101de8ef7dff5f434426b"
"6282046969d4e346753ca7bc1b47f792","d__Bacteria",NA,NA,NA,NA,NA,NA,"6282046969d4e346753ca7bc1b47f792"
"82ce1d4b455781eb42aa295aeac6dcdb","d__Bacteria",NA,NA,NA,NA,NA,NA,"82ce1d4b455781eb42aa295aeac6dcdb"
"2ca207fec46370ac2498f788e2a002cc","Unassigned",NA,NA,NA,NA,NA,NA,"2ca207fec46370ac2498f788e2a002cc"
"df363f3b43d555802da73d9dc4724e3f","Unassigned",NA,NA,NA,NA,NA,NA,"df363f3b43d555802da73d9dc4724e3f"
"8ccddbeebb3133b268922bb27ecd5839","Unassigned",NA,NA,NA,NA,NA,NA,"8ccddbeebb3133b268922bb27ecd5839"
